2023-03-18 16:48:07,059 INFO    Thread-35 (_run_job):17253 [wandb_setup.py:_flush():68] Configure stats pid to 17253
2023-03-18 16:48:07,060 INFO    Thread-35 (_run_job):17253 [wandb_setup.py:_flush():68] Loading settings from /home/sooraj/.config/wandb/settings
2023-03-18 16:48:07,060 INFO    Thread-35 (_run_job):17253 [wandb_setup.py:_flush():68] Loading settings from /home/sooraj/sem/dl/assignment-1/wandb/settings
2023-03-18 16:48:07,060 INFO    Thread-35 (_run_job):17253 [wandb_setup.py:_flush():68] Loading settings from environment variables: {'_require_service': 'True', 'project': 'assignment-1', 'entity': 'cs20b075', 'root_dir': '/home/sooraj/sem/dl/assignment-1', 'run_id': '68en4a7w', 'sweep_param_path': '/home/sooraj/sem/dl/assignment-1/wandb/sweep-h84a40ar/config-68en4a7w.yaml', 'sweep_id': 'h84a40ar'}
2023-03-18 16:48:07,060 INFO    Thread-35 (_run_job):17253 [wandb_setup.py:_flush():68] Inferring run settings from compute environment: {'program': '<python with no main file>'}
2023-03-18 16:48:07,060 INFO    Thread-35 (_run_job):17253 [wandb_init.py:_log_setup():492] Logging user logs to /home/sooraj/sem/dl/assignment-1/wandb/run-20230318_164807-68en4a7w/logs/debug.log
2023-03-18 16:48:07,060 INFO    Thread-35 (_run_job):17253 [wandb_init.py:_log_setup():493] Logging internal logs to /home/sooraj/sem/dl/assignment-1/wandb/run-20230318_164807-68en4a7w/logs/debug-internal.log
2023-03-18 16:48:07,060 INFO    Thread-35 (_run_job):17253 [wandb_init.py:init():532] calling init triggers
2023-03-18 16:48:07,060 INFO    Thread-35 (_run_job):17253 [wandb_init.py:init():538] wandb.init called with sweep_config: {'activation_function': 'tanh', 'batch': 32, 'epochs': 5, 'hidden_layer_size': 256, 'learning_rate': 0.0001, 'num_hidden_layers': 3, 'optimizer': 'sgd', 'weight_decay': 0.0005, 'weight_initialisation': 'xavier'}
config: {}
2023-03-18 16:48:07,060 INFO    Thread-35 (_run_job):17253 [wandb_init.py:init():588] starting backend
2023-03-18 16:48:07,060 INFO    Thread-35 (_run_job):17253 [wandb_init.py:init():592] setting up manager
2023-03-18 16:48:07,064 INFO    Thread-35 (_run_job):17253 [backend.py:_multiprocessing_setup():106] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2023-03-18 16:48:07,066 INFO    Thread-35 (_run_job):17253 [wandb_init.py:init():599] backend started and connected
2023-03-18 16:48:07,080 INFO    Thread-35 (_run_job):17253 [wandb_run.py:_config_callback():1250] config_cb None None {'activation_function': 'tanh', 'batch': 32, 'epochs': 5, 'hidden_layer_size': 256, 'learning_rate': 0.0001, 'num_hidden_layers': 3, 'optimizer': 'sgd', 'weight_decay': 0.0005, 'weight_initialisation': 'xavier'}
2023-03-18 16:48:07,080 INFO    Thread-35 (_run_job):17253 [wandb_run.py:_label_probe_notebook():1203] probe notebook
2023-03-18 16:48:07,081 INFO    Thread-35 (_run_job):17253 [wandb_run.py:_label_probe_notebook():1213] Unable to probe notebook: 'NoneType' object has no attribute 'get'
2023-03-18 16:48:07,081 INFO    Thread-35 (_run_job):17253 [wandb_init.py:init():687] updated telemetry
2023-03-18 16:48:07,083 INFO    Thread-35 (_run_job):17253 [wandb_init.py:init():727] communicating run to backend with 60.0 second timeout
2023-03-18 16:48:07,859 INFO    Thread-35 (_run_job):17253 [wandb_run.py:_on_init():2134] communicating current version
2023-03-18 16:48:07,929 INFO    Thread-35 (_run_job):17253 [wandb_run.py:_on_init():2143] got version response upgrade_message: "wandb version 0.14.0 is available!  To upgrade, please run:\n $ pip install wandb --upgrade"

2023-03-18 16:48:07,929 INFO    Thread-35 (_run_job):17253 [wandb_init.py:init():775] starting run threads in backend
2023-03-18 16:48:07,964 INFO    Thread-35 (_run_job):17253 [wandb_run.py:_console_start():2114] atexit reg
2023-03-18 16:48:07,965 INFO    Thread-35 (_run_job):17253 [wandb_run.py:_redirect():1969] redirect: SettingsConsole.WRAP_RAW
2023-03-18 16:48:07,965 INFO    Thread-35 (_run_job):17253 [wandb_run.py:_redirect():2034] Wrapping output streams.
2023-03-18 16:48:07,965 INFO    Thread-35 (_run_job):17253 [wandb_run.py:_redirect():2059] Redirects installed.
2023-03-18 16:48:07,965 INFO    Thread-35 (_run_job):17253 [wandb_init.py:init():817] run started, returning control to user process
2023-03-18 16:49:47,364 INFO    Thread-35 (_run_job):17253 [wandb_run.py:_finish():1854] finishing run cs20b075/assignment-1/68en4a7w
2023-03-18 16:49:47,364 INFO    Thread-35 (_run_job):17253 [wandb_run.py:_atexit_cleanup():2083] got exitcode: 0
2023-03-18 16:49:47,365 INFO    Thread-35 (_run_job):17253 [wandb_run.py:_restore():2066] restore
2023-03-18 16:49:47,365 INFO    Thread-35 (_run_job):17253 [wandb_run.py:_restore():2072] restore done
2023-03-18 16:49:53,225 INFO    Thread-35 (_run_job):17253 [wandb_run.py:_footer_history_summary_info():3442] rendering history
2023-03-18 16:49:53,226 INFO    Thread-35 (_run_job):17253 [wandb_run.py:_footer_history_summary_info():3474] rendering summary
2023-03-18 16:49:53,229 INFO    Thread-35 (_run_job):17253 [wandb_run.py:_footer_sync_info():3398] logging synced files
